trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
59,False,"{'a': 0.002, 'e': 0.8904752232974726}",20,0,-28.21824249368454,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
60,False,"{'a': 0.002, 'e': 0.8886960526146174}",20,0,-54.63286030944649,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
61,False,"{'a': 0.002, 'e': 0.8869204367171575}",20,0,-26.34449000584122,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
62,False,"{'a': 0.002, 'e': 0.8851483685026271}",25,0,-130.0024944252722,"{0: 14, 1: 5, 2: 4, 3: 0, 4: 2}",0
63,False,"{'a': 0.002, 'e': 0.8833798408827509}",20,0,-46.77584347102783,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
64,False,"{'a': 0.002, 'e': 0.8816148467834161}",25,0,-230.46139628400914,"{0: 13, 1: 2, 2: 5, 3: 1, 4: 4}",0
65,False,"{'a': 0.002, 'e': 0.8798533791446438}",25,0,-74.9934610219031,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
66,False,"{'a': 0.002, 'e': 0.8780954309205613}",25,0,-90.85360181584218,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
67,False,"{'a': 0.002, 'e': 0.8763409950793732}",20,0,-58.55198859249227,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
68,False,"{'a': 0.002, 'e': 0.874590064603334}",25,0,-158.24135002106254,"{0: 14, 1: 4, 2: 3, 3: 2, 4: 2}",0
69,False,"{'a': 0.002, 'e': 0.8728426324887193}",25,0,-31.863168506494773,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
70,False,"{'a': 0.002, 'e': 0.8710986917457983}",20,0,-68.72510776555862,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
71,False,"{'a': 0.002, 'e': 0.8693582353988059}",20,0,-88.59263177419281,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
72,False,"{'a': 0.002, 'e': 0.867621256485914}",20,0,-281.6437750692571,"{0: 6, 1: 2, 2: 6, 3: 1, 4: 5}",0
73,False,"{'a': 0.002, 'e': 0.865887748059205}",30,16,-46.29413849195467,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
74,False,"{'a': 0.002, 'e': 0.8641577031846428}",25,0,-126.92905420205852,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 3}",0
75,False,"{'a': 0.002, 'e': 0.8624311149420455}",30,0,-49.889236614614944,"{0: 24, 1: 3, 2: 2, 3: 0, 4: 1}",0
76,False,"{'a': 0.002, 'e': 0.8607079764250578}",20,0,-24.007299966376863,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
77,False,"{'a': 0.002, 'e': 0.8589882807411234}",25,0,-71.54844239392995,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
78,False,"{'a': 0.002, 'e': 0.8572720210114575}",20,0,-143.37380394897056,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
79,False,"{'a': 0.002, 'e': 0.8555591903710185}",20,0,-158.0562092470649,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 4}",0
80,False,"{'a': 0.002, 'e': 0.8538497819684817}",30,10,-86.05584229728888,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",1
81,False,"{'a': 0.002, 'e': 0.8521437889662113}",20,0,-92.53615519144887,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
82,False,"{'a': 0.002, 'e': 0.850441204540233}",20,0,-182.51432658267004,"{0: 11, 1: 3, 2: 2, 3: 0, 4: 4}",0
